event_id,player_id,player_first_name,player_last_name,placement,score
2024-020001,5,Edward,Z,1,256000
2024-020001,8,Mark,T,2,243200
2024-020001,44,Alyssa,T,3,195400
2024-020001,45,Tiharu,T,4,194900
2024-020001,6,Stephen,So,5,182000
2024-020001,35,David,C,6,179000
2024-020001,46,Ran,C,7,99800
2024-020001,47,Jin,J,8,82900
2024-020001,14,Jason,Li,9,80000
2024-020001,11,Vincent,Z,10,38300
2024-020001,9,Collin,Wang,11,18600
2024-020001,41,Toshihiro,Sakurai,12,-39900
2024-020001,30,Jimmy,C,13,-42100
2024-020001,12,Victor,Savard-Arseneault,14,-71700
2024-020001,3,Sylvie,Brunelle,15,-77400
2024-020001,7,Michael,Horton,16,-90000
2024-020001,36,Eric,Zhang,17,-99900
2024-020001,48,Ben,N,18,-105800
2024-020001,2,Grant,Mahoney,19,-111600
2024-020001,19,Lorenzo,Desrosiers,20,-114300
2024-020001,29,Daniel,Tutor,21,-148100
2024-020001,34,Chris,M,22,-170500
2024-020001,38,Bianca,Granato,23,-304800
