event_id,player_id,player_first_name,player_last_name,placement,score
2023-010001,,Emma,Fahlström,1,125600
2023-010001,,Torkel,Kylsten,2,113500
2023-010001,,Jacob,Samuelsson,3,84500
2023-010001,,Thomas,Li,4,79300
2023-010001,,Stefan,Persson,5,71900
2023-010001,,Erik,Forsaeus,6,66400
2023-010001,,Anton,Yarchuk,7,55800
2023-010001,,Joel M.,Malmsten-Gren,8,39500
2023-010001,2,Grant,Mahoney,9,34600
2023-010001,,Gustaf,Fröhlander,10,17800
2023-010001,,Christos,Charalampous,11,9400
2023-010001,,Ulrika,Belfrage,12,5800
2023-010001,,Fang,He,13,-4700
2023-010001,,Ting,Ma,14,-12900
2023-010001,,Philip,Shevin,15,-23700
2023-010001,,Martin,Edvall,16,-33400
2023-010001,,Lave,Westesson,17,-45300
2023-010001,,Lars,Johansson,18,-51900
2023-010001,,Anton F.,Friberg,19,-53700
2023-010001,,Jesper,Carlsson,20,-109300
2023-010001,,Nikki,Krause,21,-115400
2023-010001,,Perham,Panabechi,22,-125500
2023-010001,,Ksenia,Trishina,23,-133800
2023-010001,,Sindri,Steingrimsson,24,-154500
