event_id,player_id,player_first_name,player_last_name,placement,score
2024-010001,,Cécile,Blanc,1,174700
2024-010001,,Paul-Arthur,Valet,2,151000
2024-010001,,Stéphane,Commans,3,135900
2024-010001,,Marion,Hoarau,4,131300
2024-010001,,Jérémie,Pierard De Maujouy,5,118100
2024-010001,,Anthony,Suong,6,112500
2024-010001,,Vasile,Gherman,7,96900
2024-010001,,Vadim,Horwat,8,92400
2024-010001,,Julien,Fouques,9,87700
2024-010001,,Anthony,Ea,10,87000
2024-010001,,Minh Tri,Tran,11,78800
2024-010001,,Benoit,Dessort,12,50600
2024-010001,,Steven,Hue,13,50400
2024-010001,,Hugo,Perrin,14,49300
2024-010001,,Anne,Royet,15,48700
2024-010001,,Christiane,D Angelo,16,42600
2024-010001,,Chaolei,Chen,17,41500
2024-010001,,Joel,Ratsimandresy,18,38700
2024-010001,12,Victor,Savard-Arseneault,19,35600
2024-010001,,Gabriel,Destrieux,20,34700
2024-010001,,Pierric,Willemet,21,30500
2024-010001,,Thibaut,Arnold,22,27500
2024-010001,,Zageeth,Manokaran,23,26800
2024-010001,,Samuel,Marchal,24,15800
2024-010001,,Karolina,Trepinska,25,-500
2024-010001,,Arnaud,Wolf,26,-2400
2024-010001,,Maati,Raissi,27,-9300
2024-010001,,Véronique,Boisson,28,-11700
2024-010001,,Alfredo,Glioti,29,-17000
2024-010001,,Nicolas,Auger,30,-19900
2024-010001,,Patrick,Venturini,31,-20600
2024-010001,,Antoine,Lemiere,32,-24200
2024-010001,,Alexis,Petitjean,33,-37000
2024-010001,,Valentin,Courtois,34,-38100
2024-010001,,Lowan,Seillery,35,-49100
2024-010001,,Yohann,Neraud,36,-51900
2024-010001,,Jeremy,Molvaut,37,-57100
2024-010001,,Yeyin,Lu,38,-58500
2024-010001,,Marian Sanya,Jones,39,-60200
2024-010001,,Cédric,Aguerre,40,-61100
2024-010001,,Elizabeth,Toucas,41,-64900
2024-010001,,Nehuen,Penaloza,42,-66200
2024-010001,,Guillaume,Colom,43,-67900
2024-010001,,Fredrik,Andersson,44,-81400
2024-010001,,Santiago,Bautista,45,-95100
2024-010001,,Chantal,Tran,46,-99500
2024-010001,,Nicolas,Housset,47,-102200
2024-010001,,Donovan,Tanguier,48,-106500
2024-010001,,Kevin,Chau,49,-124100
2024-010001,,Morgan,Walmsley,50,-134400
2024-010001,,Simon Bounkéo,Fongue,51,-156600
2024-010001,,Jordan,Hemmings,52,-221600
