event_id,player_id,player_first_name,player_last_name,placement,score
2023-010002,,Julien,Fouques,1,173900
2023-010002,,Anna,Zubenko,2,127500
2023-010002,,Joe-Calberson,Huynh,3,126600
2023-010002,,Valentin,Courtois,4,118800
2023-010002,2,Grant,Mahoney,5,88900
2023-010002,,Alexandre,Dauriac,6,58400
2023-010002,,Lies,Naert,7,46800
2023-010002,,Mihnea,Petraru,8,46700
2023-010002,,Theresa,Göser,9,44900
2023-010002,,Yang,Zhang,10,44200
2023-010002,,Lena,Weinguny,11,35500
2023-010002,,David,Gadalean,12,29400
2023-010002,,Jasper,Germeys,13,15200
2023-010002,,Pieter,Potmeer,14,3500
2023-010002,,Michael,Van Der Sluijs,15,3000
2023-010002,,Justin,Koh,16,-2900
2023-010002,,Ksenia,Trishina,17,-33300
2023-010002,,Elmar,Mohsenzada,18,-40200
2023-010002,,Mirela Lucia,Khezam,19,-41900
2023-010002,,Manuel,Schlich,20,-42300
2023-010002,,Ken Nico,Schultheiss,21,-43600
2023-010002,,Chris,Luntraru,22,-52000
2023-010002,,Vitalii,Balaniuk,23,-54000
2023-010002,,Chaolei,Chen,24,-54600
2023-010002,,Ivar,Bouwman,25,-57400
2023-010002,,Hiroshi,Kameda,26,-58900
2023-010002,,Frank,Tobias,27,-84000
2023-010002,,Fary,Diop,28,-101100
2023-010002,,Timur,Hahn,29,-120300
2023-010002,,Madalina,Mocanu,30,-132400
2023-010002,,Alecio Livio,Popa,31,-167600
2023-010002,,Player,Substitut,32,-270000
