event_id,player_id,player_first_name,player_last_name,placement,score
2023-010003,,Lukas,Gerhold,1,155400
2023-010003,,Sebastian,Lavallee,2,141900
2023-010003,,Isabel,Bahiano Steenholm,3,125600
2023-010003,,Olivier,Cao,4,116800
2023-010003,2,Grant,Mahoney,5,110400
2023-010003,,Nadine,König,6,76200
2023-010003,,Tian,Hang,7,71600
2023-010003,,Thibaut,Arnold,8,64900
2023-010003,,Jeroen,Chen,9,63700
2023-010003,,Junyu,Wang,10,63000
2023-010003,,Raphael,Pelgrims,11,62300
2023-010003,,Jasper,Germeys,12,60200
2023-010003,,Freddy,Christiansen,13,56800
2023-010003,,Aleksander,Orlikowski,14,54100
2023-010003,,Anna,Zubenko,15,50500
2023-010003,,Max,Ihrén,16,28600
2023-010003,,Eskild,Middelboe,17,24800
2023-010003,,Zheming,Jin,18,22200
2023-010003,,Sveta,Yaremenko,19,11900
2023-010003,,Manuel,Schlich,20,5200
2023-010003,,Fang,He,21,4500
2023-010003,,Niklas,Johansson,22,1500
2023-010003,,Stian,Blaenes,23,600
2023-010003,,Bao,Zheng Liu,24,-2800
2023-010003,,Matej,Labaš,25,-8700
2023-010003,,Mateusz,Maćkowski,26,-8900
2023-010003,,Glenn,Mortensen,27,-11900
2023-010003,,Andrew,Zp Smith,28,-16300
2023-010003,,Devi G.,Steck,29,-22300
2023-010003,,Henri,Mäkelä,30,-27700
2023-010003,,Lanxin,Zhang,31,-33800
2023-010003,,Ella,Junttari,32,-34300
2023-010003,,Sebastian,Vikkelsø Elleholm,33,-34400
2023-010003,,Oleksii,Bezuhlyi,34,-35300
2023-010003,,Michele,Butkus,35,-39600
2023-010003,,Morten,Andersen,36,-40700
2023-010003,,Michał,Waliszewski,37,-42900
2023-010003,,Jesper,Nøhr,38,-44300
2023-010003,,Sheila,Hansen,39,-51600
2023-010003,,Philip,Bielby,40,-54700
2023-010003,,Michal,Marko,41,-57000
2023-010003,,Juraj,Jerguš,42,-60200
2023-010003,,Alfonso,Madruga,43,-60300
2023-010003,,Maksym,Ivanov,44,-79100
2023-010003,,Lars,Therkelsen,45,-81600
2023-010003,,Sophie,Delauche,46,-85800
2023-010003,,Espen,Nielsen,47,-86000
2023-010003,,Ben,Thomas,48,-94600
2023-010003,,Eigo,Kawatani,49,-97000
2023-010003,,Konstantin,Pakshaev,50,-106500
2023-010003,,Gustaf,Fröhlander,51,-131500
2023-010003,,Ting,Ma,52,-142900
