event_id,player_id,player_first_name,player_last_name,placement,score
2011-010002,,Bert,Claessen,1,175100
2011-010002,,Sjef,Strik,2,153900
2011-010002,,Nicolas,Poilleux,3,138600
2011-010002,,Tom,Mustonen,4,122700
2011-010002,,Nicolas Alexander,Schmitt,5,102700
2011-010002,,Jean-Marc,Dedieu,6,97600
2011-010002,,Maurice,Demmer,7,88900
2011-010002,,Martin,Rep,8,86400
2011-010002,,Nicolas,Campina,9,85800
2011-010002,,Joe-Calberson,Huynh,10,84900
2011-010002,,Valérian,Thomas,11,82700
2011-010002,,Anneke,Keyl,12,71700
2011-010002,,Quentin,Porcherot,13,70300
2011-010002,,Pierre-Cyril,Kutukdjian,14,70000
2011-010002,,Janine,Van Wijk,15,61900
2011-010002,,Yvonne,Van Der Heide,16,61000
2011-010002,,John,Kuijpers,17,51900
2011-010002,,Thomas,Wedekind,18,41900
2011-010002,,Ingrid,Broeder,19,41800
2011-010002,,Julie,Gacser,20,38500
2011-010002,,Karst,Westra,21,38000
2011-010002,,Matthias,Köhler,22,37600
2011-010002,,Eveline,Broers,23,34500
2011-010002,,Marianne,Croeze,24,33800
2011-010002,,Fritioff,Olssen,25,33300
2011-010002,,Joel,Ratsimandresy,26,28100
2011-010002,,Martha,Pasterkamp,27,23700
2011-010002,,Ton,Rijnders,28,19400
2011-010002,,Jaap,Croeze,29,18200
2011-010002,,Gemma,Sakamoto,30,17900
2011-010002,,Adrie,Van Geffen,31,17800
2011-010002,,Aziz,Azougagh,32,16200
2011-010002,,Hanneke,Morel,33,12100
2011-010002,,Quentin,Thomas,34,5200
2011-010002,,Cécile,Poilleux-Laudy,35,4400
2011-010002,,Ian,Fraser,36,3900
2011-010002,,Paula,Rijnders,37,900
2011-010002,,Sergey,Dedikov,38,-6800
2011-010002,,Cor,Hoogland,39,-14300
2011-010002,,Alfonso,Madruga,40,-15300
2011-010002,,Jessica,Henry,41,-20100
2011-010002,,Rick,Moorman,42,-24200
2011-010002,,Harry,Kal,43,-27900
2011-010002,,Gertjan,Davies,44,-31300
2011-010002,,Peter,Langford,45,-31300
2011-010002,,Olivier,Aubrun,46,-33000
2011-010002,,Hidekazu,Hayashi,47,-39400
2011-010002,,Garance,Kutukdjian,48,-42200
2011-010002,,Gerda,Van Oorschot,49,-44600
2011-010002,,Ans,Hoogland,50,-48600
2011-010002,,Désirée,Heemskerk,51,-50900
2011-010002,,Diana,Van De Wetering,52,-53900
2011-010002,,Marcel,Weiß,53,-63200
2011-010002,,Frauke,Roos,54,-64200
2011-010002,,Gert,Van Der Vegt,55,-71500
2011-010002,,Sohana,Ma Prem,56,-72400
2011-010002,,Dicky,Rep,57,-73300
2011-010002,,Dimphy,Van Grinsven,58,-83800
2011-010002,,Alexis,Turquois,59,-87300
2011-010002,,Laura,Van Dorland,60,-89800
2011-010002,,Marjan,Demmer,61,-91800
2011-010002,,Pauline,Van Der Linden,62,-93800
2011-010002,,Els,Kuijpers,63,-97100
2011-010002,,Hugo,Dupierris,64,-121900
2011-010002,,Ad,Van Der Linden,65,-126100
2011-010002,,Yvonne,Heemskerk,66,-134600
2011-010002,2,Grant,Mahoney,67,-149100
2011-010002,,Dieta,Onderwaater,68,-169600
