event_id,player_id,player_first_name,player_last_name,placement,score
2024-010003,,Michael,Van Der Sluijs,1,241100
2024-010003,,Konsta,Lensu,2,188500
2024-010003,,Henri,Mäkelä,3,174500
2024-010003,,Anneke,Keyl,4,162500
2024-010003,,Ruud,Cremers,5,131500
2024-010003,,Valentin,Courtois,6,131000
2024-010003,,Désirée,Heemskerk,7,126700
2024-010003,,Menno,Deij - Van Rijswijk,8,114300
2024-010003,,Mateusz,Woźniak,9,111000
2024-010003,,Arnaud,Renard,10,93000
2024-010003,,Jérémie,Pierard De Maujouy,11,88600
2024-010003,,Linh,Van Leuven,12,74900
2024-010003,,Henri,Devillez,13,74800
2024-010003,,Jos,Dermout,14,72000
2024-010003,,Kohei,Miyake,15,62900
2024-010003,,Joseph,James,16,56900
2024-010003,,Ad,Van Der Linden,17,56000
2024-010003,,Gerda,Van Oorschot,18,51100
2024-010003,,Foppe,Bakker,19,49200
2024-010003,,Steven,Hue,20,47600
2024-010003,,Manuel,Tertre,21,45300
2024-010003,,Bert,Claessen,22,42300
2024-010003,,Marco,D Agostino,23,38800
2024-010003,,Manuel,Schlich,24,34200
2024-010003,,Junjie,You,25,32200
2024-010003,,Robert,Bodde,26,31300
2024-010003,,Sophie,Delauche,27,29000
2024-010003,,Chris,De Roock,28,28600
2024-010003,,Hanneke,Morel,29,12800
2024-010003,,Martin,Van Thiel,30,10600
2024-010003,,Cécile,Barret,31,7300
2024-010003,,Martijn,Gulmans,32,6300
2024-010003,,Timo,Heemstra,33,3900
2024-010003,,Eveline,Broers,34,3200
2024-010003,,Lies,Naert,35,2300
2024-010003,,Karst,Ruiter De,36,1700
2024-010003,,Sonja,Meulendijk,37,900
2024-010003,,Yvonne,Van Der Heide,38,-2000
2024-010003,,Cees,Van Den Brink,39,-2400
2024-010003,,Vilhelmiina,Viinikka,40,-5400
2024-010003,,Martyna,Jędryczka,41,-8600
2024-010003,,Benjamin,Kam,42,-9400
2024-010003,,Joke,De Jong,43,-12400
2024-010003,,Jacqueline,Oudshoorn,44,-20200
2024-010003,,Jeroen,Chen,45,-20600
2024-010003,,Benoit,Dessort,46,-21000
2024-010003,,Dimphy,Van Grinsven,47,-23600
2024-010003,,Anton,Chekanov,48,-24700
2024-010003,,Jinbi,Jin,49,-41200
2024-010003,,Marjoleine,Lips,50,-45600
2024-010003,,Essi,Viinikka,51,-49200
2024-010003,,Pauline,Van Der Linden,52,-51300
2024-010003,,Stefanie,Duhme,53,-56500
2024-010003,,Chris,Offermans,54,-58000
2024-010003,,Marc,Van Der Nat,55,-58200
2024-010003,,Jurgen,Brink,56,-68000
2024-010003,2,Grant,Mahoney,57,-68100
2024-010003,,Olav,Sommers,58,-68900
2024-010003,,Tamas,Erdos,59,-72400
2024-010003,,Véronique,Boisson,60,-73000
2024-010003,,Raphael,Pelgrims,61,-73000
2024-010003,,Christiaan,Gobel,62,-74300
2024-010003,,Lars,Therkelsen,63,-83000
2024-010003,,Nathan,Germeau,64,-85200
2024-010003,,Sandra,Van Wijngaarden,65,-89600
2024-010003,,Ivar,Bouwman,66,-103200
2024-010003,,Frank,Tobias,67,-107000
2024-010003,,Jack,Main,68,-109200
2024-010003,,Tiziano,Van Der Waals,69,-113000
2024-010003,,Laurent,Vamecq,70,-123100
2024-010003,,Ans,Hoogland,71,-129700
2024-010003,,Rene,Khezam,72,-133400
2024-010003,,Jakko,De Vries,73,-134200
2024-010003,,Fary,Diop,74,-157400
2024-010003,,Constance,Braas,75,-184800
2024-010003,,Gabriel,Toulcanon,76,-220900
