event_id,player_id,player_first_name,player_last_name,placement,score
2023-010004,,Claire,Warin,1,201300
2023-010004,,Alexis,Azoulai,2,123700
2023-010004,,Manuel,Tertre,3,104500
2023-010004,,Michiko,Green,4,81800
2023-010004,,Marion,Hoarau,5,77500
2023-010004,,Anthony,Ea,6,67100
2023-010004,,Cécile,Blanc,7,60900
2023-010004,,Cédric,Aguerre,8,59300
2023-010004,,Florian,Rancon,9,56600
2023-010004,,Yohann,Neraud,10,54900
2023-010004,,Steven,Hue,11,29800
2023-010004,,Yeyin,Lu,12,28100
2023-010004,,Vadim,Horwat,13,26200
2023-010004,,Alex,Leung,14,25700
2023-010004,,Guillaume,Aubut,15,15900
2023-010004,,Julien,Fouques,16,11900
2023-010004,,Zageeth,Manokaran,17,2200
2023-010004,,Evan,Csont,18,-16700
2023-010004,,Cédric,Rostein,19,-17400
2023-010004,,Nolwenn,Giraud,20,-21100
2023-010004,,Alexandre,Dauriac,21,-22800
2023-010004,,Mathis,Gendron,22,-40600
2023-010004,12,Victor,Savard-Arseneault,23,-40700
2023-010004,,Arisa,Turner,24,-43000
2023-010004,,Véronique,Boisson,25,-56200
2023-010004,,Nehuen,Penaloza,26,-71900
2023-010004,,David,Gibon,27,-77700
2023-010004,,Karolina,Trepinska,28,-87100
2023-010004,,Jovnna,Derême,29,-97200
2023-010004,,Jordan,Hemmings,30,-114500
2023-010004,,Anthony,Suong,31,-148200
2023-010004,,Baptiste,Baron,32,-250900
