event_id,player_id,player_first_name,player_last_name,placement,score
2024-010004,,Maksym,Ivanov,1,139800
2024-010004,,Uladzimir,Tananushka,2,133000
2024-010004,,Sonia,Borysiak,3,123800
2024-010004,,Tatsiana,Mikhalchenia,4,109400
2024-010004,,Tatsuya,Igarashi,5,109100
2024-010004,,Szymon,Lasota,6,106900
2024-010004,,Jacek,Borysiak,7,106100
2024-010004,,Dominik,Jarno,8,98500
2024-010004,,Aleksander,Orlikowski,9,98200
2024-010004,,Roman,Powęzka,10,94400
2024-010004,,Bartosz,Żuk,11,90800
2024-010004,,Aliaksei,Yurechka,12,88800
2024-010004,,Oleksii,Bezuhlyi,13,85200
2024-010004,,Maksim,Amelevich,14,80900
2024-010004,,Nina,Popławska,15,76200
2024-010004,,Michael,Gürtl-Dusleag,16,75000
2024-010004,,Alex,Leung,17,74400
2024-010004,,Sveta,Yaremenko,18,73400
2024-010004,,Ken Nico,Schultheiss,19,69100
2024-010004,,Arnaud,Wolf,20,60200
2024-010004,,Alex,Grad,21,59100
2024-010004,,Shu,Hasegawa,22,52400
2024-010004,,Mateusz,Wieczorek,23,47400
2024-010004,,Paweł,Kruk,24,43700
2024-010004,,Olga,Igarashi,25,41300
2024-010004,,Artur,Libich,26,38600
2024-010004,,Tomasz,Powęzka,27,37800
2024-010004,,Alexander,Doppelhofer,28,35800
2024-010004,,Raziya,Bizhanova,29,35500
2024-010004,12,Victor,Savard-Arseneault,30,33000
2024-010004,,Elmar,Mohsenzada,31,31200
2024-010004,,Kevin,Yusharyahya,32,25400
2024-010004,,Adrian,Fornalik,33,14100
2024-010004,,Jolanta,Liberska-Adamczewska,34,13500
2024-010004,,Dawid,Kamiński,35,12600
2024-010004,,Maria,Baranowska,36,7900
2024-010004,,Kunyan,Zhao,37,5000
2024-010004,,Krzysztof,Sosnicki,38,2900
2024-010004,,Ekaterina,Kondratenko,39,-2100
2024-010004,,Konrad,Marciniak,40,-2400
2024-010004,,Varvara,Kulhayeva,41,-6400
2024-010004,,Marta,Kochańska,42,-9400
2024-010004,,Dominik,Pawelec,43,-11900
2024-010004,,Sergio,Matos Lima,44,-12000
2024-010004,,Joanna,Patalon,45,-15400
2024-010004,,Vitalii,Balaniuk,46,-15700
2024-010004,,Justyna,Rak,47,-17400
2024-010004,,Junjie,Wei,48,-21800
2024-010004,,Aleksandra,Malarz,49,-22200
2024-010004,,Paulina,Kakuba,50,-25800
2024-010004,,Tomasz,Dąbski,51,-31800
2024-010004,,Szymon,Nowicz,52,-35700
2024-010004,,Urszula,Szudlich,53,-37900
2024-010004,,Paweł,Polański,54,-46200
2024-010004,,Michał,Tkaczyk,55,-46400
2024-010004,,Jacek,Spychała,56,-48400
2024-010004,,Ksenia,Trishina,57,-49800
2024-010004,,Maciej,Szostak,58,-51500
2024-010004,,Martyna,Jędryczka,59,-53200
2024-010004,,Janet,Wissuwa,60,-55300
2024-010004,,Jakub,Szpyra,61,-56500
2024-010004,,Jakub,Cieślik,62,-57800
2024-010004,,Maciej,Wrześniewski,63,-59400
2024-010004,,Jakub,Titow,64,-61500
2024-010004,,Mateusz,Woźniak,65,-63900
2024-010004,,Natalia,Mecner,66,-68600
2024-010004,,Iwona,Bobrek,67,-68700
2024-010004,,Mateusz,Kamiński,68,-72400
2024-010004,,Krzysztof,Dąbrowski,69,-76500
2024-010004,,Luna,Świątek,70,-77700
2024-010004,,Bartłomiej,Żok,71,-80100
2024-010004,,Marek,Minias,72,-82300
2024-010004,,Grzegorz,Tkaczyk,73,-84200
2024-010004,,Jędrzej,Adamczewski,74,-91800
2024-010004,,Elias,Boutaleb,75,-92400
2024-010004,,Michał,Waliszewski,76,-95000
2024-010004,,Christopher,Mielke,77,-95200
2024-010004,,Mariusz,Krause,78,-96000
2024-010004,,Marta,Grajkowska,79,-96300
2024-010004,,Karolina,Horbaczewska,80,-97700
2024-010004,,Hubert,Żmurko,81,-106900
2024-010004,,Jakub,Rogala,82,-141200
2024-010004,,Marcin,Kurek,83,-145500
2024-010004,,Anton,Yarchuk,84,-146600
