event_id,player_id,player_first_name,player_last_name,placement,score
2023-010005,,Manuel,Schlich,1,177500
2023-010005,,Linh,Van Leuven,2,151100
2023-010005,,Robert,Mundel,3,125300
2023-010005,,Junjie,You,4,124400
2023-010005,2,Grant,Mahoney,5,107300
2023-010005,,Ian,Fraser,6,97000
2023-010005,,Haddou,Keil,7,90100
2023-010005,,Valentin,Courtois,8,85800
2023-010005,,Aymeric,Masson,9,71000
2023-010005,,Jos,Dermout,10,67400
2023-010005,,Arisa,Turner,11,64100
2023-010005,,Lena,Weinguny,12,62200
2023-010005,,Martyna,Jędryczka,13,57500
2023-010005,,Jérémie,Pierard De Maujouy,14,54500
2023-010005,,Alex,Leung,15,47500
2023-010005,,Raphael,Pelgrims,16,44300
2023-010005,,Stéphane,Commans,17,42800
2023-010005,,Nehuen,Penaloza,18,41100
2023-010005,,Arnaud,Renard,19,40300
2023-010005,,Ivar,Bouwman,20,40000
2023-010005,,Oleksii,Bezuhlyi,21,31100
2023-010005,,Sergio,Matos Lima,22,29700
2023-010005,,Bryan,Manchez,23,29500
2023-010005,,Manuel,Tertre,24,21500
2023-010005,,Anthony,Ea,25,21000
2023-010005,,Henri,Devillez,26,20300
2023-010005,,Juraj,Jerguš,27,18200
2023-010005,,Mateusz,Woźniak,28,16800
2023-010005,,Guillaume,(last Name),29,16700
2023-010005,,Benoit,Dessort,30,14800
2023-010005,,Luc,Rene De Cotret,31,12800
2023-010005,,Marco,D Agostino,32,5800
2023-010005,,Lies,Naert,33,3200
2023-010005,,Marieke,Verheyden,34,1100
2023-010005,,Chris,De Roock,35,-700
2023-010005,,Isabelle,Bats,36,-1100
2023-010005,,Katarzyna,Chabelska,37,-1700
2023-010005,,Michael,Van Der Sluijs,38,-2000
2023-010005,,Alexandre,Dauriac,39,-3400
2023-010005,,Olivier,Cao,40,-7300
2023-010005,,Leonie,Serrier,41,-8200
2023-010005,,Véronique,Boisson,42,-8300
2023-010005,,Rene,Khezam,43,-9400
2023-010005,,Nina,Popławska,44,-11700
2023-010005,,Zageeth,Manokaran,45,-13900
2023-010005,,Arthuria,Dekimpe,46,-17800
2023-010005,,Piti,Phanpanich,47,-17900
2023-010005,,Thibault,Vroonhove,48,-23800
2023-010005,,Arnaud,Wolf,49,-29400
2023-010005,,Yeyin,Lu,50,-34000
2023-010005,,Zhi-Wei,Lu,51,-39800
2023-010005,,Michiko,Green,52,-40900
2023-010005,,Vitalii,Balaniuk,53,-44600
2023-010005,,Jordan,Hemmings,54,-48800
2023-010005,,Ken Nico,Schultheiss,55,-49200
2023-010005,,Nathan,Germeau,56,-50400
2023-010005,,Benjamin,Kam,57,-51200
2023-010005,,Mirela Lucia,Khezam,58,-55200
2023-010005,,Sophie,Delauche,59,-57600
2023-010005,,Yaobin,Shen,60,-61200
2023-010005,,Chaolei,Chen,61,-64500
2023-010005,,Julien,Fouques,62,-74100
2023-010005,,Benedetta,Tesi,63,-79800
2023-010005,,Hui,Xiang,64,-83800
2023-010005,,Laurent,Vamecq,65,-94700
2023-010005,,Peter,Langford,66,-94900
2023-010005,,Matthieu,Fontaine,67,-124000
2023-010005,,Michal,Marko,68,-132900
2023-010005,,Pierre,Chabert,69,-141500
2023-010005,,Hiroshi,Kameda,70,-150000
2023-010005,,Fary,Diop,71,-176700
2023-010005,,Thomas,Gonstas,72,-203300
