event_id,player_id,player_first_name,player_last_name,placement,score
2018-010001,,Valentin,Courtois,1,44
2018-010001,,Nicole,Haasbroek,2,43
2018-010001,,Danil,Shatokhin,3,42
2018-010001,,Martijn,Klaar,4,41
2018-010001,,Oleksii,Logvinov,5,40
2018-010001,,Michael,Donaghy,6,39
2018-010001,,Cédric,Galletti,7,38
2018-010001,,Zeyu,Sun,8,37
2018-010001,,Antoine,Rossard,9,36
2018-010001,2,Grant,Mahoney,10,35
2018-010001,,Kevin,Chau,11,34
2018-010001,,Sandra,Berthommier,12,33
2018-010001,,Minh Tri,Tran,13,32
2018-010001,,Julien,Fouques,14,31
2018-010001,,Karolina,Trepinska,15,30
2018-010001,,Claude,Sessin,16,29
2018-010001,,Jérémie,Pierard De Maujouy,17,28
2018-010001,,Mingxi,Liang,18,27
2018-010001,,Isabelle,Marsac,19,26
2018-010001,,Mathieu,Chambe,20,25
2018-010001,,Luc,Debrun,21,24
2018-010001,,Dmitriy,Varchenko,22,23
2018-010001,,Simon,Picard,23,22
2018-010001,,Yulong,Zhao,24,21
2018-010001,,Sergio,Matos Lima,25,20
2018-010001,,Nehuen,Penaloza,26,19
2018-010001,,Manuel,Tertre,27,18
2018-010001,,Anna,Olefirenko,28,17
2018-010001,,Vadim,Horwat,29,16
2018-010001,,Bryan,Manchez,30,15
2018-010001,,Florian,Rancon,31,14
2018-010001,,Gemma,Sakamoto,32,13
2018-010001,,Quentin,Liberpre,33,12
2018-010001,,Jérôme,Fetu,34,11
2018-010001,,Sven-Hendrik,Gutsche,35,10
2018-010001,,Guillaume,Colom,36,9
2018-010001,,Cécile,Blanc,37,8
2018-010001,,Charles,Nicollas,38,7
2018-010001,,Hiroyoshi,Tosaki,39,6
2018-010001,,Anthony,Ea,40,5
2018-010001,,Chantal,Tran,41,4
2018-010001,,Vitalii,Balaniuk,42,3
2018-010001,,Alexis-Mathieu,Hubert,43,2
2018-010001,,Matthieu,Goudeau,44,1
