event_id,player_id,player_first_name,player_last_name,placement,score
2019-010001,,Nathan,Germeau,1,127300
2019-010001,,Jens,Smikalla,2,125600
2019-010001,,Julien,Fouques,3,118600
2019-010001,,Jérémie,Pierard De Maujouy,4,109800
2019-010001,,Gerda,Van Oorschot,5,100100
2019-010001,,Sabine,Manten,6,94700
2019-010001,,Karolina,Trepinska,7,82300
2019-010001,,Murakami,Makoto,8,76000
2019-010001,,Rene,Khezam,9,75500
2019-010001,,Lena,Weinguny,10,71000
2019-010001,,Pierre,Beinstingel,11,66900
2019-010001,,Daniel,Gahler,12,64400
2019-010001,,Pia,Ledwig,13,46900
2019-010001,,Menno,Deij - Van Rijswijk,14,37300
2019-010001,,Krisztian,Deak,15,32300
2019-010001,,Łukasz,Grzybowski,16,32200
2019-010001,,Jos,Dermout,17,29700
2019-010001,,(first Name),Fangzhou Bian,18,27200
2019-010001,,Tine,Weckhuyzen,19,25600
2019-010001,,Eveline,Broers,20,19200
2019-010001,,Tatsuya,Igarashi,21,18100
2019-010001,2,Grant,Mahoney,22,11200
2019-010001,,Pieter,Potmeer,23,7000
2019-010001,,Nadine,König,24,2800
2019-010001,,Thomas,Gonstas,25,2000
2019-010001,,Timur,Hahn,26,1500
2019-010001,,Michael,Donaghy,27,900
2019-010001,,Danilo,Serio,28,-2200
2019-010001,,Ans,Hoogland,29,-2900
2019-010001,,Peter,Beese,30,-12900
2019-010001,,Joe-Calberson,Huynh,31,-14100
2019-010001,,Katarzyna,Chabelska,32,-23600
2019-010001,,Dimphy,Van Grinsven,33,-25700
2019-010001,,Piti,Phanpanich,34,-26900
2019-010001,,Marco,Rappe,35,-32300
2019-010001,,Gemma,Sakamoto,36,-32900
2019-010001,,Julian,Nowakowski,37,-35500
2019-010001,,Lukas,Gerhold,38,-37900
2019-010001,,Olga,Igarashi,39,-39400
2019-010001,,Yvonne,Van Der Heide,40,-45900
2019-010001,,Chris,De Roock,41,-51800
2019-010001,,Jonas,Frings,42,-55000
2019-010001,,Rudi,Kopmanis,43,-55700
2019-010001,,Michael,Van Der Sluijs,44,-89000
2019-010001,,Anneke,Keyl,45,-89700
2019-010001,,Sandra,Van Wijngaarden,46,-91000
2019-010001,,Alexander,Schuler,47,-99600
2019-010001,,Foppe,Bakker,48,-113000
2019-010001,,Marieke,Verheyden,49,-122300
2019-010001,,Markus,Kruse,50,-181800
2019-010001,,Domenico,Sansevieri,51,-182600
2019-010001,,Player,Substitut,52,-270000
