event_id,player_id,player_first_name,player_last_name,placement,score
2024-010005,,Hiroshi,Yamai,1,52900
2024-010005,,Anthony,Suong,2,38300
2024-010005,,Konsta,Lensu,3,-26300
2024-010005,7,Michael,Hernandez,4,-64900
2024-010005,,Vadim,Horwat,5,13900
2024-010005,,Łukasz,Grzybowski,6,-3700
2024-010005,,Cécile,Blanc,7,-28200
2024-010005,,Martha,Pasterkamp,8,-55400
2024-010005,,Keijun,Nara,9,237400
2024-010005,,Jokubas,Markevicius,10,224900
2024-010005,,Hui,Xiang,11,128900
2024-010005,,Nina,Popławska,12,123000
2024-010005,,Jimin,Yoon,13,87200
2024-010005,,Rodrigo,Lopes,14,75400
2024-010005,,Henri,Mäkelä,15,75400
2024-010005,,Christiaan,Gobel,16,100
2024-010005,,Miłosz,Meller,17,185900
2024-010005,,Raphael,Pelgrims,18,144900
2024-010005,,Guillaume,Chambas,19,109300
2024-010005,,Selim,Tlatli,20,100000
2024-010005,,Bogdan,Matveyev,21,87900
2024-010005,,Chaolei,Chen,22,83000
2024-010005,,Neil,Chen,23,81200
2024-010005,,Qingshuang,Lu,24,76700
2024-010005,,Wenlong,Li,25,74700
2024-010005,,Arnaud,Renard,26,72600
2024-010005,,Zheming,Jin,27,64300
2024-010005,,Robert,Mundel,28,59900
2024-010005,,Angzheng,Yao,29,58600
2024-010005,,Alexis,Petitjean,30,58200
2024-010005,,Miguel,Costa,31,55200
2024-010005,,Junjie,Wei,32,42200
2024-010005,,Edwin,Dizon,33,41200
2024-010005,,Martyna,Jędryczka,34,39600
2024-010005,,Alex,Leung,35,33400
2024-010005,,Logan,Arrias,36,32400
2024-010005,,Jordan,Hemmings,37,30500
2024-010005,25,Dennis,Kwok,38,29200
2024-010005,,Stéphane,Commans,39,24500
2024-010005,4,Michael,McLeod,40,21000
2024-010005,,Benoit,Dessort,41,20500
2024-010005,,Alice,Porotto,42,20500
2024-010005,,Michał,Tkaczyk,43,16800
2024-010005,,Mateusz,Woźniak,44,12800
2024-010005,,Bryan,Manchez,45,7300
2024-010005,,Szymon,Nowicz,46,5800
2024-010005,,Junxi,Wang,47,5400
2024-010005,,Yuri,Mikoshiba,48,4800
2024-010005,,Gabriel,Destrieux,49,-2900
2024-010005,,Valentin,Courtois,50,-4400
2024-010005,,Urszula,Szudlich,51,-4700
2024-010005,,Manuel,Schlich,52,-14100
2024-010005,,Junjie,You,53,-17100
2024-010005,,Vasile,Gherman,54,-17600
2024-010005,,Claude,Sessin,55,-17600
2024-010005,,Niklas,Johansson,56,-17800
2024-010005,,Anne,Royet,57,-18500
2024-010005,,David,Bresnick,58,-19800
2024-010005,,Anton,Yarchuk,59,-24600
2024-010005,,Ivar,Bouwman,60,-27800
2024-010005,,Joel M.,Malmsten-Gren,61,-28000
2024-010005,,Maati,Raissi,62,-29000
2024-010005,,Lindor,Shala,63,-29200
2024-010005,,Martijn,Gulmans,64,-31600
2024-010005,,Julia,Soh,65,-33600
2024-010005,,Arnaud,Wolf,66,-40000
2024-010005,,Olga,Igarashi,67,-40300
2024-010005,,Anthony,Ea,68,-41600
2024-010005,,Elias,Boutaleb,69,-47800
2024-010005,,Claire,Pozniak,70,-49600
2024-010005,,Nicolas,Auger,71,-49700
2024-010005,,Aurélien,Jaquier,72,-51500
2024-010005,,Anastasiia,Veremenko,73,-54000
2024-010005,,Alexandre,Dauriac,74,-54400
2024-010005,,Aurelien,Fleuriot,75,-57200
2024-010005,,Zageeth,Manokaran,76,-57800
2024-010005,,Weiping,Tang,77,-64000
2024-010005,,Sergio,Matos Lima,78,-66400
2024-010005,,Adrien,Leroy,79,-76300
2024-010005,,Constance,Braas,80,-79100
2024-010005,,Véronique,Boisson,81,-80500
2024-010005,,Yurika,Aoi,82,-80900
2024-010005,,Sacha,Dunan,83,-82200
2024-010005,1,Loïc,Roberge,84,-83900
2024-010005,,Younès,Kheniche,85,-92100
2024-010005,,Gemma,Sakamoto,86,-92600
2024-010005,,Arisa,Turner,87,-95600
2024-010005,,Eric,Zhang,88,-96700
2024-010005,,Alexandre,Phonchareun,89,-100000
2024-010005,,Oleksii,Bezuhlyi,90,-103300
2024-010005,,Kohei,Miyake,91,-112600
2024-010005,,Philip,Bielby,92,-116500
2024-010005,,Jai,Srivastav,93,-118500
2024-010005,,Aleksander,Orlikowski,94,-118700
2024-010005,,Vincent,Van De Velde,95,-128700
2024-010005,,Fary,Diop,96,-130400
2024-010005,,Louis,Holsbrink,97,-137400
2024-010005,,Karolina,Trepinska,98,-142100
2024-010005,,Annika,Ridell,99,-147700
2024-010005,,Zeyu,Sun,100,-161700
2024-010005,,Anthony,Barbier,101,-173700
2024-010005,,Sophie,Delauche,102,-202100
2024-010005,,Magali,Rossi,103,-204800
2024-010005,,Agneses,Bonanno,104,-222700
