event_id,player_id,player_first_name,player_last_name,placement,score
2024-010006,,Valentin,Courtois,1,178900
2024-010006,,Steven,Hue,2,130700
2024-010006,,Jérémie,Pierard De Maujouy,3,111700
2024-010006,,Aymeric,Masson,4,95800
2024-010006,,Mateusz,Woźniak,5,89300
2024-010006,,Lies,Naert,6,77100
2024-010006,12,Victor,Savard-Arseneault,7,75700
2024-010006,,Pierre,Chabert,8,70200
2024-010006,,Thibault,Vroonhove,9,67200
2024-010006,,Henri,Devillez,10,66300
2024-010006,,Stéphane,Commans,11,65700
2024-010006,,Haddou,Keil,12,63900
2024-010006,,Benjamin,Kam,13,62000
2024-010006,,Tamas,Erdos,14,59200
2024-010006,,Laurent,Vamecq,15,33700
2024-010006,,Nathan,Ledoux,16,29800
2024-010006,,Hui,Xiang,17,26400
2024-010006,,Nicolas,Platiau,18,26400
2024-010006,,Ivar,Bouwman,19,24500
2024-010006,,Louis,Holsbrink,20,21000
2024-010006,,Jos,Dermout,21,7700
2024-010006,,Benoit,Dessort,22,1900
2024-010006,,Chris,Offermans,23,0
2024-010006,,Marjoleine,Lips,24,-3000
2024-010006,,Martyna,Jędryczka,25,-4500
2024-010006,,Nathan,Germeau,26,-5000
2024-010006,,Luc,Rene De Cotret,27,-7600
2024-010006,,Vincent,Bormans,28,-7800
2024-010006,,Gabriel,Mesaus,29,-8500
2024-010006,,Marco,D Agostino,30,-8700
2024-010006,,Isabelle,Bats,31,-9100
2024-010006,,Sandra,Van Wijngaarden,32,-11000
2024-010006,,Marieke,Verheyden,33,-13200
2024-010006,,Thomas,Gonstas,34,-23700
2024-010006,,Raphael,Pelgrims,35,-26400
2024-010006,,Arnaud,Renard,36,-30800
2024-010006,,Nathan,Vico,37,-36500
2024-010006,,Rudi,Kopmanis,38,-40300
2024-010006,,Jan,Moses,39,-47300
2024-010006,,Ben,Thomas,40,-49800
2024-010006,,Johan,Gjingjic,41,-50800
2024-010006,,Tiziano,Van Der Waals,42,-68600
2024-010006,,Hanneke,Morel,43,-75000
2024-010006,,Sacha,Firouzfar,44,-81800
2024-010006,,Piti,Phanpanich,45,-85200
2024-010006,,Raph,Eijkenboom,46,-91200
2024-010006,,Gauthier,Baes,47,-92800
2024-010006,,Sophie,Delauche,48,-105600
2024-010006,,Christiaan,Gobel,49,-110600
2024-010006,,Constance,Braas,50,-117200
2024-010006,,Noah,Thoi,51,-135900
2024-010006,,Chris,De Roock,52,-145200
