event_id,player_id,player_first_name,player_last_name,placement,score
2024-010007,,Szymon,Nowicz,1,105600
2024-010007,,Ivar,Bouwman,2,105400
2024-010007,,Manuel,Schlich,3,72500
2024-010007,,Valentin,Courtois,4,72300
2024-010007,,Konstantin,Pakshaev,5,67400
2024-010007,,Mateusz,Woźniak,6,63900
2024-010007,,Martyna,Jędryczka,7,43700
2024-010007,,Jasper,Germeys,8,40800
2024-010007,,Vitalii,Balaniuk,9,29200
2024-010007,,Fia,Otreus,10,28600
2024-010007,,Xiaochen,Zhu,11,25300
2024-010007,,Hiroshi,Kameda,12,22900
2024-010007,2,Grant,Mahoney,13,15900
2024-010007,,Thai,Chung,14,12600
2024-010007,,Zuokan,Hu,15,9900
2024-010007,,Mirko,Berns-Relotic,16,9200
2024-010007,,Noah,Schaar,17,8300
2024-010007,,Anton,Yarchuk,18,6200
2024-010007,,Thomas,Kuhnel,19,3100
2024-010007,,Jonas,Mönicke,20,-200
2024-010007,12,Victor,Savard-Arseneault,21,-2800
2024-010007,,Dominik,Jarno,22,-7000
2024-010007,,Katarzyna,Chabelska,23,-8500
2024-010007,,Anna,Zubenko,24,-22400
2024-010007,,Songqing,Lin,25,-25900
2024-010007,,Chris,Luntraru,26,-26000
2024-010007,,David,Gadalean,27,-29900
2024-010007,,Gustaf,Wilén,28,-31600
2024-010007,,Ksenia,Trishina,29,-39300
2024-010007,,Tamas,Erdos,30,-43600
2024-010007,,Joshua,Bäckström,31,-46400
2024-010007,,Pieter,Potmeer,32,-50400
2024-010007,,Michael,Van Der Sluijs,33,-82300
2024-010007,,Frank,Tobias,34,-82500
2024-010007,,Mihnea,Petraru,35,-141200
2024-010007,,Nicolás,Beltrán Aliaga,36,-142800
