event_id,player_id,player_first_name,player_last_name,placement,score
2024-010008,,Benoit,Dessort,1,135300
2024-010008,,Benjamin,Savoy,2,111200
2024-010008,,Martin,Lester,3,106500
2024-010008,,Dennis,Chau,4,104500
2024-010008,,Yu,Chan,5,99100
2024-010008,,Chris,Endicott,6,97600
2024-010008,,Meghann,Mckeague,7,88800
2024-010008,,Christos,Charalampous,8,84200
2024-010008,,Karolina,Bajor,9,81700
2024-010008,,Jordan,Hemmings,10,79600
2024-010008,,Ronan,White,11,79600
2024-010008,,Jonathan,Ashby,12,77600
2024-010008,,Jay,Li,13,76100
2024-010008,,Adelino,Santos,14,72900
2024-010008,,Gemma,Sakamoto,15,71800
2024-010008,,Michael,Tsang,16,64800
2024-010008,,Joaquin Derrac,Rus,17,60800
2024-010008,,Jokubas,Markevicius,18,57400
2024-010008,,Duy,Le,19,49800
2024-010008,,Gordon,Chan,20,45400
2024-010008,,Daria,Ilina,21,35500
2024-010008,,Samuel,Brown,22,35000
2024-010008,,Mike,Short,23,30500
2024-010008,,George,Twigg,24,29800
2024-010008,,Anton,Chekanov,25,27400
2024-010008,,Andrew,Zp Smith,26,19900
2024-010008,,Devi G.,Steck,27,19300
2024-010008,,Paul,Bellchambers,28,16700
2024-010008,,Jem,Short,29,8000
2024-010008,,Joel,Abraham,30,5700
2024-010008,2,Grant,Mahoney,31,5400
2024-010008,,Max,Bowsher,32,4800
2024-010008,,Barry,Crilley,33,1800
2024-010008,,Wenlong,Li,34,-1100
2024-010008,,Valentin,Vinogradov,35,-1900
2024-010008,,Aidan,Robison,36,-9700
2024-010008,,John,Duckworth,37,-18300
2024-010008,,Wilson,Lu,38,-29400
2024-010008,,Elliot,Tong,39,-35600
2024-010008,,Peter,Langford,40,-36300
2024-010008,,Christy,Chan,41,-41900
2024-010008,,Mateusz,Woźniak,42,-43500
2024-010008,,Sam,Sleight,43,-51200
2024-010008,,Kim,Wright,44,-54200
2024-010008,,Eliot,Hollier,45,-57600
2024-010008,,Arnaud,Wolf,46,-57700
2024-010008,,Karman,Wong,47,-58900
2024-010008,,Ian,Fraser,48,-59900
2024-010008,,Adam,Lindley,49,-66800
2024-010008,,Pavel,Bogachev,50,-67300
2024-010008,,James,Green,51,-67700
2024-010008,,Martyna,Jędryczka,52,-72700
2024-010008,,Vivienne,Cameron,53,-81000
2024-010008,,Lauryn,Lewis,54,-92900
2024-010008,,Mark,Wu,55,-96900
2024-010008,,Jacinthe,Savoy,56,-99000
2024-010008,,Filipe,Reis,57,-117100
2024-010008,,Anastasiia,Veremenko,58,-218000
2024-010008,,Loraine,Gray,59,-236100
2024-010008,,Janos,Farkas,60,-251800
