event_id,player_id,player_first_name,player_last_name,placement,score
2024-010009,,Szymon,Nowicz,1,169200
2024-010009,,Paul-Arthur,Valet,2,141200
2024-010009,,Kevin,Chau,3,129800
2024-010009,,Alex,Leung,4,124900
2024-010009,,Ronan,White,5,83600
2024-010009,,Lindor,Shala,6,81600
2024-010009,,Mark,Wu,7,77500
2024-010009,,Diogo,Amores,8,75300
2024-010009,,Sergi,Villalobos,9,67200
2024-010009,,Aleksander,Orlikowski,10,64200
2024-010009,,Antonio,Ayllón,11,62400
2024-010009,,Edgar,Rubio Rodilla,12,59100
2024-010009,,Cels,Monterde,13,52200
2024-010009,,Kohei,Miyake,14,51000
2024-010009,,Linxuan,He,15,40200
2024-010009,,Mateusz,Woźniak,16,34200
2024-010009,,Cécile,Blanc,17,31700
2024-010009,,Urszula,Szudlich,18,19900
2024-010009,,Jérémie,Pierard De Maujouy,19,19400
2024-010009,,David,Figueiredo Ferrugento,20,17200
2024-010009,,Víctor,González Fuente,21,16300
2024-010009,,Gustaf,Wilén,22,14100
2024-010009,,Benoit,Messi Fouda,23,11400
2024-010009,,Sophie,Delauche,24,9000
2024-010009,,Yeyin,Lu,25,7600
2024-010009,,Matthieu,Arene,26,2100
2024-010009,12,Victor,Savard-Arseneault,27,-5000
2024-010009,,Chris,De Roock,28,-6100
2024-010009,,Michał,Waliszewski,29,-12100
2024-010009,,Raúl,Ríos Navarro,30,-25600
2024-010009,,Katarzyna,Chabelska,31,-27100
2024-010009,,Miguel,Costa,32,-29300
2024-010009,,Ben,Thomas,33,-38300
2024-010009,,Arnold,Cabarubias,34,-45700
2024-010009,,Raphael,Pelgrims,35,-47500
2024-010009,,Yulong,Zhao,36,-54200
2024-010009,,Kenji,Hayashi,37,-57000
2024-010009,,Nicolás,Beltrán Aliaga,38,-60000
2024-010009,,Arnaud,Wolf,39,-60500
2024-010009,,Pablo,Rebollo,40,-78300
2024-010009,,Martyna,Jędryczka,41,-80000
2024-010009,,Aurélien,Jaquier,42,-81800
2024-010009,,Luis Eduardo,Rubio Rodriguez,43,-90000
2024-010009,,Qingshuang,Lu,44,-93600
2024-010009,,Edward Joel,Carwyn Muskus,45,-113200
2024-010009,,Jos,Dermout,46,-119200
2024-010009,,Luis,Salvador Armenteros,47,-180500
2024-010009,,Ana,Perez Galve,48,-185300
