event_id,player_id,player_first_name,player_last_name,placement,score
2024-010010,2,Grant,Mahoney,1,206800
2024-010010,,Michael,Van Der Sluijs,2,155400
2024-010010,,Jonas,Mönicke,3,148000
2024-010010,,Maksym,Ivanov,4,146700
2024-010010,,Minnie,Leung,5,126500
2024-010010,,Michał,Waliszewski,6,114900
2024-010010,,Katarzyna,Chabelska,7,111800
2024-010010,,Benoit,Dessort,8,86200
2024-010010,,Lukas,Gerhold,9,76000
2024-010010,,Manuel,Schlich,10,73700
2024-010010,,Nina,Popławska,11,69700
2024-010010,,Barry,Crilley,12,60100
2024-010010,,Dominik,Jarno,13,58700
2024-010010,,Junjie,Wei,14,52900
2024-010010,,Anthony,Suong,15,50400
2024-010010,,Krzysztof,Dąbrowski,16,49100
2024-010010,,Sergio,Matos Lima,17,47900
2024-010010,,Timur,Hahn,18,46600
2024-010010,,Urszula,Szudlich,19,41400
2024-010010,,Martyna,Jędryczka,20,24300
2024-010010,,Anastasiia,Veremenko,21,20900
2024-010010,,Dominik,Hammerl,22,20000
2024-010010,,Martin,Schleimer,23,18500
2024-010010,,Sveta,Yaremenko,24,16500
2024-010010,,Anton,Yarchuk,25,16400
2024-010010,,Jakub,Titow,26,16100
2024-010010,,Mateusz,Woźniak,27,13400
2024-010010,,Anton,Lu,28,8600
2024-010010,,Birgitt,Rupp,29,4700
2024-010010,,Ekaterina,Kondratenko,30,1200
2024-010010,,Aleksander,Orlikowski,31,-3600
2024-010010,,Kunyan,Zhao,32,-5500
2024-010010,,Kohei,Miyake,33,-7000
2024-010010,,Arnaud,Wolf,34,-8700
2024-010010,,Charlene,Surilla,35,-12900
2024-010010,,Matej,Labaš,36,-18600
2024-010010,,Robert,Mundel,37,-21500
2024-010010,,Julian,Lee Harather,38,-22300
2024-010010,,Martin,Mauder,39,-24500
2024-010010,,Luc,Debrun,40,-29600
2024-010010,,Michael,Gürtl-Dusleag,41,-30200
2024-010010,,Mirko,Berns-Relotic,42,-32300
2024-010010,,Ken Nico,Schultheiss,43,-32400
2024-010010,,Alexander,Doppelhofer,44,-37100
2024-010010,,Alexander,Oswald,45,-39300
2024-010010,,Patricia,Jantscher,46,-44400
2024-010010,,Donald,Acker,47,-45100
2024-010010,,Olga,Igarashi,48,-45800
2024-010010,,Philip,Edelmayer,49,-51900
2024-010010,,Yecheng,Li,50,-63500
2024-010010,,Martin,Pflug,51,-63700
2024-010010,,Jacek,Spychała,52,-65300
2024-010010,,Jakub,Szpyra,53,-67200
2024-010010,,Ivar,Bouwman,54,-70500
2024-010010,,Weiping,Tang,55,-80600
2024-010010,,Łukasz,Grzybowski,56,-94900
2024-010010,,Elmar,Mohsenzada,57,-98800
2024-010010,,Hiroshi,Kameda,58,-117400
2024-010010,,Frank,Tobias,59,-119600
2024-010010,,Juraj,Jerguš,60,-134200
2024-010010,,Danny,Chan,61,-138300
2024-010010,,Oleksii,Bezuhlyi,62,-186000
2024-010010,,Maximilian,Hennig,63,-193200
2024-010010,,Roland,Maier,64,-213500
