event_id,player_id,player_first_name,player_last_name,placement,score
1,,Amy,Gu,1,57800
1,,Jason,Li,2,400
1,,Miguel,Chevez,3,-21600
1,,Marc-Laurent,Frenette,4,-36600
1,,William,Slusarz,5,134000
1,,Konstantin,Pakshaev,6,116100
1,,Bichen,Wang,7,111200
1,,Lorenzo,Desrosiers,8,100700
1,,Claudel,Bilodeau,9,76800
1,,Jeffrey,Tran,10,63400
1,,Nancy,Gao,11,55900
1,,Jai,Srivastav,12,50900
1,,Max,Suddendorf,13,38700
1,,Victor,Savard-Arseneault,14,38600
1,,Melvin,P,15,32800
1,,Chami,Tanaka,16,27400
1,,Ty,Kennedy,17,18700
1,,Estey,Gerstner,18,18600
1,,Yufang,Hua,19,16200
1,,Sylvie,Brunelle,20,14000
1,,Steve,Augustin,21,12200
1,,Julien,Bouchard,22,3000
1,,Philippe,Ouellet,23,-12800
1,,Melissa,Feng,24,-17300
1,,Allen,Z,25,-21100
1,,Edward,K,26,-34900
1,,Michael,McLeod,27,-42600
1,,Alex,W,28,-54500
1,,Kevin,Ng,29,-70800
1,,Anne,Rinfret,30,-72600
1,,Adrien,Arseneault,31,-82100
1,,Alexandre,Boily,32,-84900
1,,Leo,Z,33,-95100
1,,Sébastien,Bouchard,34,96300
1,,Michael,Horton,35,-102300
1,,Sean,Huguenard,36,-127700
1,,Arya,Jouhari,37,-129400
1,,Alice,Chim,38,-150200
1,,Cassandra,McClure,39,-178500
1,,SUBSTITUTE,PLAYER,40,
