event_id,player_id,player_first_name,player_last_name,placement,score
2020-010001,,Yudong,Li,1,100800
2020-010001,,Tsubasa,Yamaneko,2,28900
2020-010001,,Mark,Teseny,3,-39100
2020-010001,,Stéphane,Commans,4,-90600
2020-010001,,Ada,H,5,76700
2020-010001,,Élodie,H,6,69100
2020-010001,,Claire,Pozniak,7,68800
2020-010001,,David,Taur,8,65500
2020-010001,,Edwin,D,9,60500
2020-010001,,Benny,F,10,58800
2020-010001,,Brian,Tseng,11,51600
2020-010001,,Tj,C,12,50400
2020-010001,,Jake,A,13,50200
2020-010001,,Aaron,Ebejer,14,46200
2020-010001,,Aldwin,G,15,37400
2020-010001,,Kazutoyo,N,16,32900
2020-010001,,Travis,Grady,17,24200
2020-010001,,Carlos,O,18,20200
2020-010001,15,Miguel,Chevez,19,14000
2020-010001,,Julian,S,20,13500
2020-010001,,Sarah,Allen,21,12300
2020-010001,,Shannon,G,22,7300
2020-010001,,Miguel,C,23,7000
2020-010001,21,Julien,B,24,3900
2020-010001,,Juno,(last Name),25,-3500
2020-010001,,Gorona,(last Name),26,-4300
2020-010001,,Hawnlay,S,27,-8300
2020-010001,,Jake,S,28,-14200
2020-010001,,Steven,Smith,29,-17800
2020-010001,,Guillaume,A,30,-23600
2020-010001,7,Michael,H,31,-24900
2020-010001,,Jeanne,H,32,-34600
2020-010001,,Matthieu,Fontaine,33,115400
2020-010001,20,Claudel,Bilodeau,34,14900
2020-010001,,Yasten,(last Name),35,5900
2020-010001,,San,N,36,-6100
2020-010001,,Martin,Benedicto,37,-11800
2020-010001,,Hoang-Long,Vu,38,-16600
2020-010001,,Alexandre,D,39,-32000
2020-010001,,Ann,Kuntsova,40,-35300
2020-010001,,Gilberto,Kobayashi,41,-37500
2020-010001,,Zach,W,42,-42300
2020-010001,,Cederic,P,43,-54000
2020-010001,,Vladislav,Chizh,44,-60100
2020-010001,,Vinnie,Emilianowicz,45,-63800
2020-010001,,Ben,W,46,-65700
2020-010001,,Erich,R,47,-70800
2020-010001,,Lil,Makotz,48,-82700
2020-010001,,Valentina,T,49,-27500
2020-010001,,Mark,B,50,-33400
2020-010001,,Wasson,An,51,-36700
2020-010001,,Alex,W,52,-36800
2020-010001,,Derrick,K,53,-39600
2020-010001,,Kyle,C,54,-46000
2020-010001,,Arnaud,Prieu,55,-47400
2020-010001,,Nathanael,K,56,-47600
2020-010001,,Ryan,A,57,-51300
2020-010001,,Elowan,A,58,-59500
2020-010001,4,Michael,McLeod,59,-60000
2020-010001,18,Sébastien,Bouchard,60,-63500
2020-010001,,Rachel,H,61,-63500
2020-010001,,Kinyan,Lui,62,-70600
2020-010001,,Bichen,W,63,-80100
2020-010001,,Simon,C,64,-87600
2020-010001,,Pio,Yoon,65,-33200
2020-010001,,Info,Removed,66,-33700
2020-010001,,Alex,C,67,-35500
2020-010001,,Timo,H,68,-38900
2020-010001,,Vince,C,69,-40100
2020-010001,,Oliver,N,70,-40200
2020-010001,,Luke,Morgan,71,-49400
2020-010001,,Artem,T,72,-49600
2020-010001,,Warren,F,73,-50900
2020-010001,16,Philippe,O,74,-51200
2020-010001,,Léa,N,75,-51300
2020-010001,,Nick,G,76,-56000
2020-010001,,Hugo,Fourmage,77,-61300
2020-010001,,Aurelien,R,78,-62600
2020-010001,,Oliver,K,79,-66100
