event_id,player_id,player_first_name,player_last_name,placement,score
2021-010001,,Mark,B,1,31800
2021-010001,,Pio,Yoon,2,2800
2021-010001,,Karl,R,3,-11500
2021-010001,,Kinyan,Lui,4,-23100
2021-010001,,Timo,H,5,72900
2021-010001,,Valentin,C,6,68100
2021-010001,18,Sébastien,Bouchard,7,56900
2021-010001,,Dustin,F,8,54900
2021-010001,,Benny,F,9,52500
2021-010001,,Jérémie,G,10,44000
2021-010001,,Nathanael,K,11,42100
2021-010001,,Xoble,(last Name),12,34100
2021-010001,,Christopher,P,13,27800
2021-010001,,Charlie,C,14,25800
2021-010001,,Penghan,W,15,23700
2021-010001,3,Sylvie,B,16,22600
2021-010001,,Tsubasa,Yamaneko,17,22100
2021-010001,,Gerald,G,18,21600
2021-010001,25,Dennis,Kwok,19,11400
2021-010001,21,Julien,B,20,10800
2021-010001,,Melvin,P,21,7700
2021-010001,,Cédric,B,22,3000
2021-010001,,Nick,L,23,-500
2021-010001,26,Jeremy,Lyn,24,-11100
2021-010001,,Allie  Hope,(last Name),25,-14500
2021-010001,,Stéphane,Commans,26,-18200
2021-010001,,Tsuneko,K,27,-22200
2021-010001,,Élodie,H,28,-29000
2021-010001,,Maati,R,29,-31400
2021-010001,,Karolina,T,30,-37700
2021-010001,,Mason,Almy,31,-39900
2021-010001,,Max,Suddendorf,32,-40500
2021-010001,,Marc Antoine Lapointe,(last Name),33,-44800
2021-010001,,Brandon,Rabe,34,-45700
2021-010001,,Yuanxi,Lin,35,-55800
2021-010001,20,Claudel,Bilodeau,36,-57400
2021-010001,,Francesco,B,37,-63800
2021-010001,,Mathis,P,38,-66600
2021-010001,,Oliver,K,39,-80500
2021-010001,17,Alexandre,Boily,40,-88900
2021-010001,,Alan,B,41,21900
2021-010001,,Joseph,M,42,-49700
2021-010001,,Zebran,K,43,-76700
2021-010001,,Sasha,F,44,-78600
