event_id,player_id,player_first_name,player_last_name,placement,score
2018-010003,,Yoshifumi,U,1,47900
2018-010003,,Mac,H,2,42600
2018-010003,1,Loïc,Roberge,3,-23500
2018-010003,,Allon,S,4,-68000
2018-010003,,Daniel,Moreno,5,115000
2018-010003,,Jessica,L,6,98800
2018-010003,,Remle,R,7,94500
2018-010003,,Pengqi,C,8,91900
2018-010003,,Aaron,Ebejer,9,89800
2018-010003,,Michael,D,10,84400
2018-010003,,Sylvain,R,11,81400
2018-010003,,Austin,T,12,81100
2018-010003,,Patrick,N,13,80500
2018-010003,,James,B,14,59500
2018-010003,,Jaben,Mccormack,15,53100
2018-010003,,Tina,K,16,48600
2018-010003,4,Michael,McLeod,17,48300
2018-010003,,Shane,Zamora,18,43900
2018-010003,,Zhuri,Z,19,43500
2018-010003,,Andrew,W,20,41300
2018-010003,,Greg,Chin,21,37100
2018-010003,,Ryan,A,22,30800
2018-010003,,Brian,Tseng,23,29300
2018-010003,,Noah,Bock,24,25900
2018-010003,,Zifei,C,25,25000
2018-010003,,Yuji,S,26,21200
2018-010003,,Matthew,M,27,19000
2018-010003,,Kyle,L,28,18900
2018-010003,,Gemma,S,29,17300
2018-010003,,Aldwin,G,30,13700
2018-010003,35,David,C,31,12000
2018-010003,2,Grant,M,32,11200
2018-010003,,Mike,Lee,33,9500
2018-010003,,Khang,Huynh,34,3700
2018-010003,,Arthur,Mcanally,35,3300
2018-010003,,Edwin,D,36,-1700
2018-010003,,William,Huie,37,-3200
2018-010003,,Zachary,L,38,-4100
2018-010003,,Sakurai,T,39,-11600
2018-010003,,Shannon,G,40,-16400
2018-010003,,Alessandro,L,41,-16800
2018-010003,,George,L,42,-18100
2018-010003,,Heyward,Z,43,-18700
2018-010003,,Kinyan,Lui,44,-18800
2018-010003,,Vincent,G,45,-19900
2018-010003,,Lesley,L,46,-20800
2018-010003,,Weibin,Wang,47,-23100
2018-010003,,Steve,A,48,-25800
2018-010003,,Alexander,L,49,-27400
2018-010003,,Kevin,Shi,50,-31700
2018-010003,,Pete,M,51,-33100
2018-010003,,Bruce,B,52,-34300
2018-010003,,Kelly,B,53,-37500
2018-010003,,David,L,54,-38800
2018-010003,,Toshiko,N,55,-39200
2018-010003,,John,E,56,-40100
2018-010003,,Robert,C,57,-47500
2018-010003,,Pierce,E,58,-63900
2018-010003,,Bing Ho L,(last Name),59,-64200
2018-010003,,Charles,M,60,-66800
2018-010003,,Moku,O,61,-70100
2018-010003,,Eric,N,62,-70900
2018-010003,,Danny,F,63,-71800
2018-010003,,Joseph,M,64,-84600
2018-010003,,Chuck,F,65,-95900
2018-010003,,Ashlee,L,66,-107300
2018-010003,,Gabriel,O,67,-113300
2018-010003,,Nikki,A,68,-123200
2018-010003,,Rachel,H,69,-131800
2018-010003,,David,Taur,70,-142200
2018-010003,,Donald,C,71,-154900
2018-010003,,Chris,W,72,-158300
2018-010003,,Kaoru,T,-1,
2018-010003,,Nicholas,N,-2,
