event_id,player_id,player_first_name,player_last_name,placement,score
2015-010002,,Thomas,R,1,110400
2015-010002,,Hiroshi,Y,2,74350
2015-010002,,Shigekazu,M,3,63350
2015-010002,,Ty,Kennedy,4,54550
2015-010002,,Yefeng,W,5,60950
2015-010002,,Shane,Zamora,6,16250
2015-010002,,Luke,Morgan,7,13350
2015-010002,,Gemma,S,8,-17150
2015-010002,,Weibin,Wang,9,50750
2015-010002,,Ryan,C,10,43900
2015-010002,,George,L,11,29500
2015-010002,,Juliet,K,12,28750
2015-010002,4,Michael,McLeod,13,24650
2015-010002,,Kenji,(last Name),14,19550
2015-010002,,Caleb,V,15,15950
2015-010002,,Philip,A,16,8400
2015-010002,,Mike,T,17,4550
2015-010002,,Daniel,Moreno,18,4350
2015-010002,,Estey,G,19,1900
2015-010002,,Anthony,Rodriguez,20,150
2015-010002,,Senechal,D,21,-1150
2015-010002,,Weijie,T,22,-1450
2015-010002,,Ryan,A,23,-10250
2015-010002,,Aldwin,G,24,-10650
2015-010002,,Paul,W,25,-12350
2015-010002,,Michael,Z,26,-13450
2015-010002,,Steven,Smith,27,-18200
2015-010002,,Gregory,S,28,-18350
2015-010002,,Zixuan,J,29,-21700
2015-010002,,Byron,K,30,-21700
2015-010002,35,David,C,31,-27650
2015-010002,,Lars,T,32,-27650
2015-010002,,Edwin,D,33,-36400
2015-010002,,Dennis,T,34,-52400
2015-010002,,Greg,Chin,35,-53350
2015-010002,,Scott,M,36,-54550
2015-010002,,Joseph,R,37,-59800
2015-010002,,Andrew,F,38,-68000
2015-010002,,Justin,D,39,-100050
2015-010002,,Lauren,W,40,-134350
