event_id,player_id,player_first_name,player_last_name,placement,score
2019-010004,,Ty,Kennedy,1,70200
2019-010004,,Mike,Lee,2,58000
2019-010004,,Nick,Rhoades,3,52000
2019-010004,22,Leo,Z,4,50400
2019-010004,,Mike,G,5,45400
2019-010004,,Taylor,Heffernan,6,44800
2019-010004,4,Michael,McLeod,7,43500
2019-010004,,David,Mann,8,22900
2019-010004,,Noah,Bock,9,21600
2019-010004,,Vinnie,Emilianowicz,10,12700
2019-010004,,Steven,Smith,11,5900
2019-010004,,Gabriel,O,12,3100
2019-010004,,Derek,Purpura,13,-3700
2019-010004,,Alex,L,14,-7600
2019-010004,,Tj,(last Name),15,-14200
2019-010004,,Sharon,S,16,-23100
2019-010004,,Stacy,S,17,-46100
2019-010004,,Everett,Leo,18,-47900
2019-010004,,Jessica,H,19,-51800
2019-010004,,Molly,Leo,20,-52800
2019-010004,,Sarah,Y,21,-56500
2019-010004,,Mark,Teseny,22,-57600
2019-010004,,Kecheng,Y,23,-59100
2019-010004,,Chris,Scholl,24,-74500
