event_id,player_id,player_first_name,player_last_name,placement,score
2020-010002,,Anthony,Hsieh,1,98100
2020-010002,,Oscar,Feng,2,52800
2020-010002,,Brian,Tseng,3,49325
2020-010002,,Jeffrey,Tran,4,40300
2020-010002,,Erik,Karhan,5,19400
2020-010002,,Logan,H,6,21850
2020-010002,,Spencer,O,7,21100
2020-010002,,Ryoei,Hirano,8,17575
2020-010002,,William,L,9,16024
2020-010002,,Ada,H,10,14975
2020-010002,,Ivan,P,11,4525
2020-010002,,Austin,T,12,-1925
2020-010002,,Alex,W,13,9225
2020-010002,,Bichen,W,14,9100
2020-010002,,Moku,O,15,7475
2020-010002,,Martin,L,16,4250
2020-010002,13,Anne,Rinfret,17,2775
2020-010002,,Maxime,I,18,1450
2020-010002,,Jake,S,19,-2525
2020-010002,,Weibin,Wang,20,-8750
2020-010002,,Jason,P,21,-2550
2020-010002,,Oliver,N,22,-3375
2020-010002,,Cristóbal,N,23,-11025
2020-010002,,Victor,Zhou,24,-24450
2020-010002,,Andre,Carneiro,25,1325
2020-010002,,Arthur,Mcanally,26,-100
2020-010002,1,Loïc,Roberge,27,-3350
2020-010002,,Jeremy,T,28,-4100
2020-010002,,Andrew,Freeman,29,-4900
2020-010002,,Rachel,Nixon,30,-8025
2020-010002,,Chris,W,31,-8650
2020-010002,,Steve,A,32,-13350
2020-010002,,Sarah,Allen,33,-4800
2020-010002,,Sebastián,P,34,-6100
2020-010002,,Rachel,H,35,-6150
2020-010002,,Karl,J,36,-8425
2020-010002,,Derek,Purpura,37,-10150
2020-010002,26,Jeremy,Lyn,38,-10225
2020-010002,,Diogo,A,39,-13150
2020-010002,,Max,Suddendorf,40,-17650
2020-010002,,Marc,L,41,-7375
2020-010002,,Kevin,Z,42,-8875
2020-010002,,Pio,Yoon,43,-10750
2020-010002,,Andrew,G,44,-13650
2020-010002,,Claire,Pozniak,45,-15125
2020-010002,33,Cristian,Abarza,46,-15300
2020-010002,,Matthew,H,47,-16050
2020-010002,,Aaron,Ebejer,48,-17325
2020-010002,,David,Taur,49,-10100
2020-010002,,Sarah,W,50,-10200
2020-010002,,Mike,G,51,-12050
2020-010002,,Diego,C,52,-12175
2020-010002,,Jeff,M,53,-14350
2020-010002,4,Michael,McLeod,54,-16900
2020-010002,,Zach,W,55,-17525
2020-010002,,James,W,56,-20100
