event_id,player_id,player_first_name,player_last_name,placement,score
2018-010004,,Rachel,H,1,137400
2018-010004,4,Michael,McLeod,2,134100
2018-010004,,Blaise,Ritchie,3,52300
2018-010004,,Lillian,H,4,12600
2018-010004,,Patrick,N,5,57300
2018-010004,,Terry Jane K,(last Name),6,22800
2018-010004,,Daniel,Moreno,7,8400
2018-010004,,Ruriko,D,8,-18300
2018-010004,,Matthew,M,9,85200
2018-010004,,Kira,Nebilak,10,83100
2018-010004,,John,E,11,73200
2018-010004,,Shane,Rideout,12,17100
2018-010004,,William,G,13,-9900
2018-010004,,Bichen,W,14,-20200
2018-010004,,Anthony,Hsieh,15,-23500
2018-010004,,Kinyan,Lui,16,-36600
2018-010004,,Ayako,S,17,-40300
2018-010004,,Abby,H,18,-40500
2018-010004,,Nels,J,19,-64000
2018-010004,,Luke,P,20,-84400
2018-010004,,David,L,21,-89500
2018-010004,,Richard,T,22,-108600
2018-010004,,Jaben,Mccormack,23,-123400
2018-010004,,Zach,Francks,-1,
