event_id,player_id,player_first_name,player_last_name,placement,score
2019-010005,,Haolun,W,1,103100
2019-010005,,Ryan,A,2,167700
2019-010005,,Khang,Huynh,3,120700
2019-010005,,Kinyan,Lui,4,95400
2019-010005,,Anthony,Hsieh,5,82300
2019-010005,,Weibin,Wang,6,33200
2019-010005,,James,B,7,26200
2019-010005,,David,L,8,2100
2019-010005,,Benjamin,P,9,1000
2019-010005,,Lesley,L,10,-35900
2019-010005,,David,Taur,11,-50300
2019-010005,,Edwin,D,12,-82800
2019-010005,,Vincent,G,13,-97400
2019-010005,,William,Huie,14,-117900
2019-010005,19,Lorenzo,Desrosiers,15,-134600
2019-010005,,Chris,Cao,16,-135800
