event_id,player_id,player_first_name,player_last_name,placement,score
2019-010006,,Heather,Blood,1,157300
2019-010006,,Daniel,Moreno,2,138600
2019-010006,,Weiwei,J,3,47700
2019-010006,,Henry,M,4,34100
2019-010006,,Simon,H,5,81100
2019-010006,,Haolun,W,6,67600
2019-010006,,John,E,7,83200
2019-010006,,Shinsuke,A,8,35400
2019-010006,,Charles,M,9,92200
2019-010006,,Anthony,Hsieh,10,84900
2019-010006,,Kelly,B,11,62300
2019-010006,,David,L,12,60800
2019-010006,,Naoki,O,13,38300
2019-010006,,Shane,Zamora,14,23300
2019-010006,,Junko,N,15,-3800
2019-010006,,Kazuki,T,16,-4500
2019-010006,,Edwin,D,17,-6400
2019-010006,,Pierce,E,18,-8400
2019-010006,,Tomoomi,L,19,-10200
2019-010006,,Kiyofumi,K,20,-10400
2019-010006,,Kyle,L,21,-10600
2019-010006,,Kei,K,22,-26600
2019-010006,,Shane,Rideout,23,-35600
2019-010006,,Rachel,H,24,-56200
2019-010006,,Kinyan,Lui,25,-59100
2019-010006,,Oliver,N,26,-72400
2019-010006,,Austin,T,27,-84300
2019-010006,,Jonathan,S,28,-100100
2019-010006,,Taylor,Heffernan,29,-115600
2019-010006,,Joseph,P,30,-128900
2019-010006,,Blaise,Ritchie,31,-137000
2019-010006,,Alex,S,32,-200700
