event_id,player_id,player_first_name,player_last_name,placement,score
2022-010003,,Keijun,Nara,1,
2022-010003,,Satoshi,Fujisaki,2,
2022-010003,,Valentin,Courtois,3,
2022-010003,,Anna,Zubenko,4,
2022-010003,,Kirill,Khromov,5,
2022-010003,,Sze chun,Leung,6,
2022-010003,,Daniel,Moreno,7,
2022-010003,,Shibata,Hiro,8,
2022-010003,,Masao,Kuroki,9,
2022-010003,,Jérémie,Pierard de maujouy,10,
2022-010003,,Linxuan,He,11,
2022-010003,,Yuko,Itou,12,
2022-010003,,Kateryna,Kondratenko,13,
2022-010003,,Takashi,Furuhashi,14,
2022-010003,,Garthe,Nelson,15,
2022-010003,,Cy,Lui,16,
2022-010003,,Yoshikazu,Shibata,17,
2022-010003,1,Loïc,Roberge,18,
2022-010003,,Anastasiia,Veremenko,19,
2022-010003,,Konsta,Lensu,20,
2022-010003,,Tatsuya,Igarashi,21,
2022-010003,,Zoltan,Dinyesi,22,
2022-010003,,Masaharu,Tomotake,23,
2022-010003,,Sergey,Petrushchenko,24,
2022-010003,,Jenn,Barr,25,
2022-010003,,Manabu,Yamada,26,
2022-010003,,Allon,Scheyer,27,
2022-010003,,Tomonori,Koshino,28,
2022-010003,,Rinka,Hayakawa,29,
2022-010003,,Sebastian,Lavallee,30,
2022-010003,,Tomohiro,Honda,31,
2022-010003,,Mami,Teranishi,32,
2022-010003,,Peter,Beese,33,
2022-010003,,Jos,Dermout,34,
2022-010003,,Kazuhiko,Nishijima,35,
2022-010003,,Niklas,Johansson,36,
2022-010003,,Lars,Therkelsen,37,
2022-010003,,Aki,Nikaido,38,
2022-010003,,Marcelo,Mecozzi,39,
2022-010003,,Foppe,Bakker,40,
2022-010003,,Ans,Hoogland,41,
2022-010003,,Matej,Labaš,42,
2022-010003,,Jouni,Kuitunen,43,
2022-010003,,Hiroshi,Yamai,44,
2022-010003,,Tomáš,Široň,45,
2022-010003,,Michael,Donaghy,46,
2022-010003,4,Michael,McLeod,47,
2022-010003,,Kinyan,Lui,48,
2022-010003,,Austin,Tai,49,
2022-010003,,Hiroe,Sugawara,50,
2022-010003,,Norio,Iga,51,
2022-010003,,Daniel,Widjaja,52,
2022-010003,,Leon,Lim,53,
2022-010003,,Kevin,Dinh,54,
2022-010003,,Nathan,Germeau,55,
2022-010003,,Janne,Hannikainen,56,
2022-010003,,Daniel,Gahler,57,
2022-010003,,Joe-Calberson,Huynh,58,
2022-010003,,Chifumi,Yamawaki,59,
2022-010003,,Marco,Montebelli,60,
2022-010003,,Alexander,Doppelhofer,61,
2022-010003,,Yukihiro,Tsuchiya,62,
2022-010003,,Morten,Andersen,63,
2022-010003,,Hyojeong,Shim,64,
2022-010003,,Yurika,Aoi,65,
2022-010003,,Nina,Popławska,66,
2022-010003,,Murilo,Bordignon,67,
2022-010003,,Tatsuya,Hiyoshi,68,
2022-010003,,Steve,Augustin,69,
2022-010003,,Martin,Lester,70,
2022-010003,,Konstantin,Pakshaev,71,
2022-010003,,Chris,Endicott,72,
2022-010003,,Yukiko,Izumi,73,
2022-010003,,Olga,Igarashi,74,
2022-010003,,Nicolas,Pfleger,75,
2022-010003,,Łukasz,Grzybowski,76,
2022-010003,,Cédric,Aguerre,77,
2022-010003,,Philip,Bielby,78,
2022-010003,,Nathan,Malafaia,79,
2022-010003,,Jun,Nishikawa,80,
2022-010003,,James,Yu,81,
2022-010003,,Patrick,Nguyen,82,
2022-010003,,Shigekazu,Moriyama,83,
2022-010003,,Russell,Chan,84,
2022-010003,,Mio,(last name),85,
2022-010003,,Axel,Eschenburg,86,
2022-010003,,Birgitt,Rupp,87,
2022-010003,,Michael,Van der sluijs,88,
2022-010003,,Jesper,Nøhr,89,
2022-010003,,Boon wei,Ooi,90,
